,trackName,artistName,count,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Means Something,Lizzy McAlpine,96,0.429,0.2,8.0,-14.629,1.0,0.0512,0.825,1.7e-06,0.367,0.357,95.319,audio_features,5L3FlmnCvJY2SN2jzvUwxL,spotify:track:5L3FlmnCvJY2SN2jzvUwxL,https://api.spotify.com/v1/tracks/5L3FlmnCvJY2SN2jzvUwxL,https://api.spotify.com/v1/audio-analysis/5L3FlmnCvJY2SN2jzvUwxL,144632.0,4.0
1,How,Elina,78,0.502,0.127,1.0,-13.642,1.0,0.0587,0.931,0.0,0.122,0.485,77.198,audio_features,1M2HXn0iXRD7KDJqtdGARb,spotify:track:1M2HXn0iXRD7KDJqtdGARb,https://api.spotify.com/v1/tracks/1M2HXn0iXRD7KDJqtdGARb,https://api.spotify.com/v1/audio-analysis/1M2HXn0iXRD7KDJqtdGARb,143704.0,4.0
2,When You Lose Someone,Nina Nesbitt,74,0.527,0.415,3.0,-4.743,1.0,0.0303,0.264,0.0,0.093,0.341,130.005,audio_features,3ECh9S9MgoL9SrpZFh0Y5Z,spotify:track:3ECh9S9MgoL9SrpZFh0Y5Z,https://api.spotify.com/v1/tracks/3ECh9S9MgoL9SrpZFh0Y5Z,https://api.spotify.com/v1/audio-analysis/3ECh9S9MgoL9SrpZFh0Y5Z,200282.0,4.0
3,ceilings,Lizzy McAlpine,73,0.516,0.322,9.0,-11.762,1.0,0.0292,0.473,0.00194,0.215,0.261,148.005,audio_features,2L9N0zZnd37dwF0clgxMGI,spotify:track:2L9N0zZnd37dwF0clgxMGI,https://api.spotify.com/v1/tracks/2L9N0zZnd37dwF0clgxMGI,https://api.spotify.com/v1/audio-analysis/2L9N0zZnd37dwF0clgxMGI,182888.0,3.0
4,hate to be lame,Lizzy McAlpine,72,0.522,0.251,10.0,-12.626,0.0,0.0603,0.871,0.000258,0.0769,0.303,137.366,audio_features,26MJjeJ0NSOQDKeZzrEFMl,spotify:track:26MJjeJ0NSOQDKeZzrEFMl,https://api.spotify.com/v1/tracks/26MJjeJ0NSOQDKeZzrEFMl,https://api.spotify.com/v1/audio-analysis/26MJjeJ0NSOQDKeZzrEFMl,156798.0,3.0
5,Stay,Gracie Abrams,72,0.618,0.37,10.0,-10.5,1.0,0.0543,0.883,0.0,0.123,0.433,114.26,audio_features,0Uon5NsSAkBDx69XYOaQ5P,spotify:track:0Uon5NsSAkBDx69XYOaQ5P,https://api.spotify.com/v1/tracks/0Uon5NsSAkBDx69XYOaQ5P,https://api.spotify.com/v1/audio-analysis/0Uon5NsSAkBDx69XYOaQ5P,177153.0,4.0
6,please,Chelsea Cutler,72,0.718,0.166,6.0,-15.82,0.0,0.0344,0.887,0.0216,0.131,0.237,97.947,audio_features,0TzeZppPwhEhySYaNRulr9,spotify:track:0TzeZppPwhEhySYaNRulr9,https://api.spotify.com/v1/tracks/0TzeZppPwhEhySYaNRulr9,https://api.spotify.com/v1/audio-analysis/0TzeZppPwhEhySYaNRulr9,219067.0,4.0
7,Unknown Track,Unknown Artist,71,0.286,0.00631,8.0,-42.724,1.0,0.0282,0.00017,0.0658,0.0615,0.0627,103.36,audio_features,47FlbrwMWmaaC87mkVbwcZ,spotify:track:47FlbrwMWmaaC87mkVbwcZ,https://api.spotify.com/v1/tracks/47FlbrwMWmaaC87mkVbwcZ,https://api.spotify.com/v1/audio-analysis/47FlbrwMWmaaC87mkVbwcZ,56750.0,3.0
8,False Art,Ben Kessler,67,0.588,0.402,2.0,-11.551,1.0,0.172,0.668,6.77e-06,0.33,0.267,91.257,audio_features,5eBZPQjBjCRXKsu9DnfS21,spotify:track:5eBZPQjBjCRXKsu9DnfS21,https://api.spotify.com/v1/tracks/5eBZPQjBjCRXKsu9DnfS21,https://api.spotify.com/v1/audio-analysis/5eBZPQjBjCRXKsu9DnfS21,183454.0,4.0
9,Meant To Be,Ber,66,0.5,0.156,1.0,-11.472,1.0,0.0469,0.87,0.0,0.125,0.405,173.794,audio_features,0wxGIpOZbDR4RGy1sh3XhR,spotify:track:0wxGIpOZbDR4RGy1sh3XhR,https://api.spotify.com/v1/tracks/0wxGIpOZbDR4RGy1sh3XhR,https://api.spotify.com/v1/audio-analysis/0wxGIpOZbDR4RGy1sh3XhR,163227.0,4.0
10,Paper Planes,Elina,62,0.529,0.351,1.0,-12.484,1.0,0.0368,0.543,0.0,0.0851,0.529,147.815,audio_features,5GzgEC6pWf1USZsCtkG8yC,spotify:track:5GzgEC6pWf1USZsCtkG8yC,https://api.spotify.com/v1/tracks/5GzgEC6pWf1USZsCtkG8yC,https://api.spotify.com/v1/audio-analysis/5GzgEC6pWf1USZsCtkG8yC,199981.0,4.0
11,can I call you back?,shy martin,59,0.647,0.319,9.0,-9.987,1.0,0.0367,0.827,0.0,0.133,0.267,126.243,audio_features,3bWubl9oMzs5Z1n5KZXSSz,spotify:track:3bWubl9oMzs5Z1n5KZXSSz,https://api.spotify.com/v1/tracks/3bWubl9oMzs5Z1n5KZXSSz,https://api.spotify.com/v1/audio-analysis/3bWubl9oMzs5Z1n5KZXSSz,153059.0,4.0
12,For All You Give,The Paper Kites,59,0.499,0.142,11.0,-17.142,0.0,0.0387,0.956,0.0029,0.109,0.354,138.726,audio_features,6LLb6rVMgQnGNZwwHSxTzn,spotify:track:6LLb6rVMgQnGNZwwHSxTzn,https://api.spotify.com/v1/tracks/6LLb6rVMgQnGNZwwHSxTzn,https://api.spotify.com/v1/audio-analysis/6LLb6rVMgQnGNZwwHSxTzn,191235.0,4.0
13,Slow,shy martin,59,0.636,0.243,2.0,-9.509,1.0,0.04,0.815,0.0,0.111,0.239,142.016,audio_features,1Ia95g66IhlAJ3qVI4qI8W,spotify:track:1Ia95g66IhlAJ3qVI4qI8W,https://api.spotify.com/v1/tracks/1Ia95g66IhlAJ3qVI4qI8W,https://api.spotify.com/v1/audio-analysis/1Ia95g66IhlAJ3qVI4qI8W,163547.0,4.0
14,I Think I,Ben Kessler,59,0.557,0.487,3.0,-10.003,1.0,0.0405,0.437,0.00987,0.167,0.504,158.877,audio_features,4v7shHT3eXpvBoG5k2OMIM,spotify:track:4v7shHT3eXpvBoG5k2OMIM,https://api.spotify.com/v1/tracks/4v7shHT3eXpvBoG5k2OMIM,https://api.spotify.com/v1/audio-analysis/4v7shHT3eXpvBoG5k2OMIM,169412.0,3.0
