,trackName,count
1630,Home,124
4734,i don't miss u,106
3381,She,99
1974,In Love Now,98
1325,Get Me,92
4396,When You Love Someone,91
534,Broken,90
2028,Is It Just Me?,90
4584,You're Everywhere,87
442,Black & Blue,85
2008,Insanity,84
4141,Tuesdays,83
1570,Hey It's Delilah,82
2985,Pancakes for Dinner,81
2201,Last Time,81
4529,Yellow Lights,81
46,323,80
3340,Seasons Change,79
2832,Nothing Ever Changes,76
148,All I Want,74
1275,Free,73
2264,Letter From Last Summer,71
4540,You Are Gold,68
679,Chosen Last,67
4466,Wilderness,67
3546,Sometimes,66
309,Back to Friends,66
1880,I'll Be There,65
3075,Please Never Fall in Love Again,64
3153,Reason To Stay,64
4730,i (I'll always be there),63
1920,IDK You Yet,60
3567,Sorry That I Do That,60
1874,I'd Pick You,59
26,1953,59
562,By Your Side,58
1660,House,57
1494,Hard Sometimes,57
3043,Picture Of You,56
2637,Mother Tongue,56
1857,I Will Spend My Whole Life Loving You,56
461,Blue,55
3715,Superhero,54
548,Burden,54
3822,That's Us,53
1348,Girl in Calico Live with Skylight City String Quartet,53
2170,Köln,53
766,Coping,52
1253,Forever And Always,52
4746,i luv him.,52
2861,October,52
4535,You & Me,52
1353,Give It All,52
4533,You,51
2919,Only Girl,51
3451,Skinny Love,50
3057,Place We Were Made,49
2181,La Reyna,49
1207,Five Foot Three,49
1143,Favourite Ex,49
2552,Medicine,49
4504,Work Off My Hurt,49
4065,Time,48
3076,Please Notice,48
2750,Next to You,48
3682,Suffocate,47
1665,House of Glass,47
261,Are you happy?,47
2894,On Your Mind,47
2664,Murakami,46
1436,Grow As We Go,46
4147,Twenty Two,46
736,Come Home,46
4877,the author,46
3471,Slow Motion,45
2991,Paper Planes,45
2571,Miles Apart,45
360,Beautiful World,45
4161,Two Summers,44
821,Dancing With Your Ghost,44
4366,What We Had,44
4160,Two Punks In Love,44
3085,Portland,43
405,Better,43
1893,I'll Stay (Carla's Song),43
2481,Macaroni Song,43
469,Blvd,43
976,Ease,43
3793,Tears Come From The Heart,43
255,Apple Pie,42
3212,Riptide,42
4120,Tragedy Is Not the End,42
4569,You Shine,42
887,Dirt,42
3428,Silhouette,42
909,"Don't Give Up On Me - (From ""Five Feet Apart"")",42
2761,No Air,42
4749,i wanna love somebody,42
2862,October - Live,42
411,Better Place,42
2359,Lookout Mtn. Love,42
1512,Head & Heart,41
3438,Since Saturday,41
342,Be Still,41
4275,Waste My Time,40
4737,i don't want to watch the world end with someone else,40
3675,Stupid Deep - Acoustic,40
3245,Rosie,40
1388,Gone,40
310,Back to You,40
2265,Letters,40
3430,Silhouettes & Sand,40
220,Anchor,40
2880,Old Eden,39
4284,Watching You,39
707,Closure,39
2089,Joshua Tree,39
1730,I Built A Friend (2020),39
649,Changes,38
191,Alone with You,38
885,Different Eyes,38
3837,The Best You Had,38
4665,dance around,38
4011,This Could Be,38
3529,Someone Like You,37
2763,No Cigar,37
591,Call Your Girlfriend,37
1213,Flashbacks,37
3909,The Mason,37
2411,Love Like This,37
4880,the first one,37
2443,Love's a Waste,37
1290,From Afar,36
1109,Falling Apart,36
177,All the Bright Places,36
1495,Hard To Do,36
40,3 AM,35
4770,justacow (demo3),35
4754,i'm lonely,35
2145,Kilimanjaro,35
1613,Hold On to You,35
3770,"Take Yours, I'll Take Mine",35
2560,Mess Is Mine,35
2626,More Than Fish,35
3176,Remember That Night?,35
701,Close To You,35
1058,Everyone’s Got Something,34
1900,I'm Not Here (Original Score),34
2757,Nightlight,34
1744,I Don't Care,34
706,Closing Time,34
1426,Gravity,34
3441,Singing in the Rain,34
43,"30,000 Feet",34
1465,Half In Love,34
3879,The Girl You Call Best Friend,34
3748,T-Shirts,33
3062,Play Pretend,33
3257,Runneth Over,33
3404,Ship in a Bottle,33
567,CLEAR,33
856,Dear No One (feat. Spencer Kane & Brooke),33
287,Autumn's Song,33
4518,Would You Be So Kind,33
367,Bedroom Ceiling,33
2446,Loved At All,33
174,All of Your Colours,32
4742,i hope you love somebody - demo,32
2285,Light Year (feat. Lennon Stella),32
4489,Without You,32
3097,Pretending,32
4515,Worth My While,32
643,Champion,32
4171,Unconditional,32
3769,Take Yours,32
2557,Memphis,31
4119,Traffic Lights,31
2316,Line Without a Hook (feat. mxmtoon),31
3792,Tears,31
3202,Rich Boy,31
2899,Once in a Lifetime,31
799,Crying Game,31
1374,Go,31
1864,I Wish It Was Me,31
4702,forever fifteen,31
2177,LEMONS - Demo,31
1284,Friendly Dark,31
4769,just like you - demo,31
1493,Hard Act To Follow,30
1979,In My Bones,30
3875,The Further I Go,30
4586,You're My Girl (Lost Recording #6),30
2361,Lose My Mind - Acoustic,30
4247,Wake Me Up,30
1529,Heart's On Fire,30
4652,can you hear me?,30
1502,Haunt You (feat. chloe moriondo),30
