,trackName,artistName,count,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
1570,If By Chance,Ruth B.,1,0.405,0.279,10.0,-8.099,1.0,0.0334,0.881,0.0,0.0933,0.256,119.85,21dpBHPTV7ythCHBI6Slcw,303653.0,4.0
4115,please,Chelsea Cutler,68,0.718,0.166,6.0,-15.82,0.0,0.0344,0.887,0.0216,0.131,0.237,97.947,0TzeZppPwhEhySYaNRulr9,219067.0,4.0
3207,"The Sun Will Come Up, The Seasons Will Change",Nina Nesbitt,21,0.69,0.582,5.0,-6.259,0.0,0.0333,0.358,0.0,0.0776,0.448,122.02,3i0VfLdOUCks9DmAht65XI,176853.0,4.0
2577,Rain,Kate Vogel,1,0.548,0.27,5.0,-10.2,1.0,0.0287,0.913,0.0432,0.0943,0.213,76.908,57uCYwWk48K38oIvozWR2P,150073.0,4.0
696,Dear August,PJ Harding,22,0.643,0.324,0.0,-7.817,1.0,0.0338,0.8,0.0,0.111,0.444,147.019,16gW9O8A4rIMx5OOVlzsSn,200940.0,4.0
229,At My Funeral,Lily Kincade,1,0.478,0.388,6.0,-10.111,1.0,0.0454,0.765,3.49e-06,0.347,0.404,165.57,6emK2IB8L0xVa4QuJx1Sdh,169911.0,3.0
3797,buttercup,Palmer,6,0.782,0.322,8.0,-12.371,1.0,0.0443,0.673,0.00014,0.0806,0.359,119.941,5bbxBlkH2QdB1AkA0JIx36,196000.0,4.0
2593,Reasons to Leave,Suriel Hess,1,0.445,0.421,11.0,-9.088,1.0,0.0812,0.825,0.0,0.105,0.269,142.226,0dhMGnSEi6yQOvsMylbHt8,165142.0,4.0
3093,Tall Paul,Annette Funicello,1,0.382,0.543,3.0,-9.582,1.0,0.0442,0.676,4.94e-05,0.31,0.961,202.42,7oJujJSTfOKP1Gw95dK3Sy,97080.0,4.0
90,A Thousand Years,Christina Perri,13,0.421,0.407,10.0,-7.445,1.0,0.0267,0.309,0.000961,0.11,0.161,139.028,6lanRgr6wXibZr8KgzXxBl,285120.0,3.0
4198,the author,Luz,31,0.354,0.264,0.0,-12.571,1.0,0.0544,0.832,0.0,0.11,0.227,80.567,0uqFo6F9DppKZtwm3zhG3s,217213.0,4.0
3654,Yellow Lights,Harry Hudson,42,0.444,0.21,3.0,-10.811,1.0,0.0516,0.844,0.0,0.0956,0.306,145.944,524dq3zKwXrP4uPL6VwoWT,171382.0,1.0
950,Favourite Ex,Maisie Peters,51,0.396,0.177,5.0,-10.277,1.0,0.0378,0.718,0.0,0.139,0.221,177.215,1a1SQeSqUKzH5OUVTEx4ae,201694.0,3.0
847,Emergency Contact,Haley Joelle,19,0.44,0.198,7.0,-7.807,1.0,0.0486,0.836,0.0,0.126,0.394,163.46,0D3ajMZc16iOnJIoCRfrE3,156585.0,3.0
854,Empath,Natalie Madigan,1,0.478,0.193,2.0,-13.492,1.0,0.0338,0.843,0.000187,0.0854,0.192,84.995,28exXeyvpnqVtoU5Fssvf1,194752.0,4.0
